id,category,artist,song_name,release_year
17,ลูกทุ่งอินดี้ / อีสานโมเดิร์น,ไผ่ พงศธร,ยืมหน้ามาเข้าฝัน,2006
18,ลูกทุ่งอินดี้ / อีสานโมเดิร์น,ไผ่ พงศธร,สาวกันตรึม,2011
19,ลูกทุ่งอินดี้ / อีสานโมเดิร์น,มีนตรา อินทิรา,ห้ามตั๋ว,2020
20,ลูกทุ่งอินดี้ / อีสานโมเดิร์น,มีนตรา อินทิรา,ว่าว,2024
21,ลูกทุ่งอินดี้ / อีสานโมเดิร์น,ครูเต้ย อภิวัฒน์,อยู่บ่ได้,2019
22,ลูกทุ่งอินดี้ / อีสานโมเดิร์น,ครูเต้ย อภิวัฒน์,ถ้าหากเธอห่างหาย,2020
23,ลูกทุ่งอินดี้ / อีสานโมเดิร์น,กระต่าย พรรณนิภา,สันดานเก่า,2019
24,ลูกทุ่งอินดี้ / อีสานโมเดิร์น,เต๊ะ ตระกูลตอ,ห่อหมกฮวกไปฝากป้า,2018
25,ลูกทุ่งแดนซ์ & ป็อปวาไรตี้,ใบเตย อาร์สยาม,เช็คเรทติ้ง,2011
26,ลูกทุ่งแดนซ์ & ป็อปวาไรตี้,ใบเตย อาร์สยาม,แน่นอก (Splash Out),2013
27,ลูกทุ่งแดนซ์ & ป็อปวาไรตี้,ใบเตย อาร์สยาม,โป๊ (ใจมันเพรียว),2013
28,ลูกทุ่งแดนซ์ & ป็อปวาไรตี้,หญิงลี ศรีจุมพล,ขอใจเธอแลกเบอร์โทร,2012
29,ลูกทุ่งแดนซ์ & ป็อปวาไรตี้,หญิงลี ศรีจุมพล,หญิงลั้ลลา,2013
30,ลูกทุ่งแดนซ์ & ป็อปวาไรตี้,หญิงลี ศรีจุมพล,คาเฟอีน,2022
31,ลูกทุ่งแดนซ์ & ป็อปวาไรตี้,จ๊ะ นงผณี,คันหู,2011
32,ลูกทุ่งแดนซ์ & ป็อปวาไรตี้,จ๊ะ นงผณี,เห็นนางเงียบๆ ฟาดเรียบนะคะ,2014
33,ลูกทุ่งแดนซ์ & ป็อปวาไรตี้,กระแต อาร์สยาม,เปิดใจสาวแต,2007
34,ลูกทุ่งแดนซ์ & ป็อปวาไรตี้,กระแต อาร์สยาม,รักนะฉึกฉึก,2011
35,ลูกทุ่งแดนซ์ & ป็อปวาไรตี้,กระแต อาร์สยาม,วิลิศมาหรา,2021
36,ลูกทุ่งแดนซ์ & ป็อปวาไรตี้,กระแต อาร์สยาม,เมร่อน,2024
37,ลูกทุ่งคลาสสิก & ตำนาน,พุ่มพวง ดวงจันทร์,กระแซะเข้ามาซิ,1986
38,ลูกทุ่งคลาสสิก & ตำนาน,พุ่มพวง ดวงจันทร์,ผู้ชายในฝัน,1985
39,ลูกทุ่งคลาสสิก & ตำนาน,พุ่มพวง ดวงจันทร์,ขอให้รวย,1989
40,ลูกทุ่งคลาสสิก & ตำนาน,พุ่มพวง ดวงจันทร์,นักร้องบ้านนอก,1978
41,ลูกทุ่งคลาสสิก & ตำนาน,พุ่มพวง ดวงจันทร์,ส้มตำ,1991
42,ลูกทุ่งคลาสสิก & ตำนาน,ก๊อท จักรพันธ์,สมหวังนะครับ,2000
43,ลูกทุ่งคลาสสิก & ตำนาน,ก๊อท จักรพันธ์,ต้องมีสักวัน,1997
44,ลูกทุ่งคลาสสิก & ตำนาน,ก๊อท จักรพันธ์,ใจสารภาพ,2000
45,ลูกทุ่งคลาสสิก & ตำนาน,ไมค์ ภิรมย์พร,ยาใจคนจน,1998
46,ลูกทุ่งคลาสสิก & ตำนาน,ไมค์ ภิรมย์พร,ละครชีวิต,1995
47,ลูกทุ่งคลาสสิก & ตำนาน,ไมค์ ภิรมย์พร,เหนื่อยไหมคนดี,2000
48,ลูกทุ่งคลาสสิก & ตำนาน,ไมค์ ภิรมย์พร,กลับคำสาหล่า,2017
49,ลูกทุ่งคลาสสิก & ตำนาน,จินตหรา พูนลาภ,แตงโมจินตหรา,1999
50,ลูกทุ่งคลาสสิก & ตำนาน,จินตหรา พูนลาภ,เต่างอย,2017
51,ลูกทุ่งคลาสสิก & ตำนาน,จินตหรา พูนลาภ,น้ำตาน้อยตก,2001
52,ลูกทุ่งคลาสสิก & ตำนาน,สุนารี ราชสีมา,กราบเท้าย่าโม,1991
53,ลูกทุ่งคลาสสิก & ตำนาน,สุนารี ราชสีมา,มอเตอร์ไซค์นุ่งสั้น,1994
54,ลูกทุ่งคลาสสิก & ตำนาน,ยอดรัก สลักใจ,30 ยังแจ๋ว,1983
55,ลูกทุ่งคลาสสิก & ตำนาน,สายัณห์ สัญญา,ไก่จ๋า,1980
56,ลูกทุ่งคลาสสิก & ตำนาน,มนต์สิทธิ์ คำสร้อย,จดหมายผิดซอง,1996
57,ลูกทุ่งคลาสสิก & ตำนาน,มนต์สิทธิ์ คำสร้อย,สั่งนาง,1996
58,เพื่อชีวิต & สำเนียงใต้,คาราบาว,วณิพก,1983
59,เพื่อชีวิต & สำเนียงใต้,คาราบาว,บัวลอย,1984
60,เพื่อชีวิต & สำเนียงใต้,คาราบาว,หลวงพ่อคูณ,1993
61,เพื่อชีวิต & สำเนียงใต้,คาราบาว,ทะเลใจ,1994
62,เพื่อชีวิต & สำเนียงใต้,พงษ์สิทธิ์ คำภีร์,ตลอดเวลา,1990
63,เพื่อชีวิต & สำเนียงใต้,พงษ์สิทธิ์ คำภีร์,มือปืน,1993
64,เพื่อชีวิต & สำเนียงใต้,พงษ์สิทธิ์ คำภีร์,เสมอ,1993
65,เพื่อชีวิต & สำเนียงใต้,พงษ์สิทธิ์ คำภีร์,รักเดียว,2011
66,เพื่อชีวิต & สำเนียงใต้,วงพัทลุง,มหาลัยวัวชน,2015
